日付,USDJPY終値,USDJPY始値,USDJPY高値,USDJPY安値,USDJPY前日比%
2018年9月12日,111.27,111.64,111.66,111.12,-0.33%
2018年9月11日,111.64,111.12,111.66,111.06,0.47%
2018年9月10日,111.12,110.97,111.25,110.86,0.04%
2018年9月7日,111.08,110.77,111.27,110.39,0.30%
2018年9月6日,110.75,111.53,111.55,110.53,-0.70%
2018年9月5日,111.53,111.45,111.76,111.37,0.07%
2018年9月4日,111.45,111.06,111.55,110.91,0.33%
2018年9月3日,111.08,111.08,111.19,110.85,0.04%
2018年8月31日,111.04,110.99,111.15,110.68,0.05%
2018年8月30日,110.98,111.69,111.78,110.95,-0.62%
2018年8月29日,111.67,111.2,111.84,111.11,0.43%
2018年8月28日,111.19,111.08,111.36,110.95,0.10%
2018年8月27日,111.08,111.25,111.36,110.92,-0.13%
2018年8月24日,111.23,111.28,111.5,111.11,-0.06%
2018年8月23日,111.3,110.55,111.33,110.52,0.67%
2018年8月22日,110.56,110.3,110.62,110.03,0.23%
2018年8月21日,110.31,110.06,110.56,109.78,0.22%
2018年8月20日,110.07,110.52,110.69,110.02,-0.39%
2018年8月17日,110.5,110.89,111.06,110.31,-0.35%
2018年8月16日,110.89,110.75,111.12,110.47,0.13%
2018年8月15日,110.75,111.14,111.44,110.42,-0.37%
2018年8月14日,111.16,110.69,111.33,110.59,0.39%
2018年8月13日,110.73,110.94,110.95,110.12,-0.19%
2018年8月10日,110.94,111.09,111.18,110.5,-0.13%
2018年8月9日,111.08,110.98,111.19,110.69,0.09%
2018年8月8日,110.98,111.39,111.44,110.83,-0.37%
2018年8月7日,111.39,111.41,111.48,111,-0.02%
2018年8月6日,111.41,111.19,111.53,111.14,0.13%
2018年8月3日,111.27,111.66,111.83,111.08,-0.35%
2018年8月2日,111.66,111.7,111.75,111.31,-0.05%
2018年8月1日,111.72,111.88,112.16,111.39,-0.14%
2018年7月31日,111.88,111.05,111.97,110.78,0.73%
2018年7月30日,111.07,111.04,111.17,110.89,0.02%
2018年7月27日,111.05,111.22,111.25,110.8,-0.15%
2018年7月26日,111.22,110.97,111.25,110.58,0.23%
2018年7月25日,110.97,111.2,111.39,110.66,-0.21%
2018年7月24日,111.2,111.35,111.52,110.96,-0.13%
2018年7月23日,111.34,111.5,111.56,110.75,-0.06%
2018年7月20日,111.41,112.46,112.63,111.39,-0.94%
2018年7月19日,112.47,112.86,113.17,112.06,-0.35%
2018年7月18日,112.86,112.89,113.16,112.72,-0.01%
2018年7月17日,112.87,112.29,112.94,112.22,0.51%
2018年7月16日,112.3,112.36,112.56,112.19,-0.07%
2018年7月13日,112.38,112.56,112.81,112.28,-0.16%
2018年7月12日,112.56,112.02,112.64,111.91,0.48%
2018年7月11日,112.02,110.98,112.19,110.77,0.92%
2018年7月10日,111,110.86,111.36,110.8,0.14%
2018年7月9日,110.85,110.5,110.91,110.31,0.35%
2018年7月6日,110.46,110.62,110.79,110.36,-0.14%
2018年7月5日,110.62,110.47,110.72,110.3,0.14%
2018年7月4日,110.47,110.61,110.64,110.28,-0.11%
2018年7月3日,110.59,110.91,111.14,110.5,-0.27%
2018年7月2日,110.89,110.67,111.06,110.48,0.19%
2018年6月29日,110.68,110.49,110.95,110.39,0.16%
2018年6月28日,110.5,110.25,110.66,109.97,0.22%
2018年6月27日,110.26,110.06,110.49,109.68,0.18%
2018年6月26日,110.06,109.75,110.22,109.36,0.26%
2018年6月25日,109.78,109.92,110.03,109.36,-0.17%
2018年6月22日,109.97,109.98,110.22,109.79,-0.03%
2018年6月21日,110,110.36,110.77,109.83,-0.33%
2018年6月20日,110.36,110.06,110.45,109.85,0.27%
2018年6月19日,110.06,110.56,110.58,109.55,-0.44%
2018年6月18日,110.55,110.67,110.75,110.3,-0.11%
2018年6月15日,110.67,110.62,110.92,110.39,0.04%
2018年6月14日,110.63,110.33,110.7,109.9,0.26%
2018年6月13日,110.34,110.38,110.86,110.26,-0.04%
2018年6月12日,110.38,110.03,110.5,109.98,0.32%
2018年6月11日,110.03,109.47,110.12,109.22,0.44%
2018年6月8日,109.55,109.71,109.87,109.19,-0.14%
2018年6月7日,109.7,110.19,110.22,109.48,-0.43%
2018年6月6日,110.17,109.8,110.28,109.78,0.34%
2018年6月5日,109.8,109.83,110.02,109.47,-0.01%
2018年6月4日,109.81,109.5,109.86,109.38,0.24%
2018年6月1日,109.55,108.81,109.75,108.72,0.67%
2018年5月31日,108.82,108.9,109.01,108.38,-0.08%
2018年5月30日,108.91,108.75,109.08,108.33,0.13%
2018年5月29日,108.77,109.42,109.47,108.11,-0.59%
2018年5月28日,109.42,109.56,109.83,109.23,0.03%
2018年5月25日,109.39,109.25,109.75,109.11,0.13%
2018年5月24日,109.25,110.08,110.11,108.95,-0.75%
2018年5月23日,110.08,110.9,110.93,109.54,-0.73%
2018年5月22日,110.89,111.06,111.19,110.8,-0.15%
2018年5月21日,111.06,110.72,111.41,110.72,0.28%
2018年5月18日,110.75,110.78,111.08,110.61,-0.02%
2018年5月17日,110.77,110.39,110.86,110.06,0.34%
2018年5月16日,110.39,110.34,110.41,110.02,0.04%
2018年5月15日,110.35,109.66,110.46,109.65,0.63%
2018年5月14日,109.66,109.39,109.67,109.2,0.25%
2018年5月11日,109.39,109.41,109.58,109.14,0.00%
2018年5月10日,109.39,109.75,110.03,109.31,-0.33%
2018年5月9日,109.75,109.11,109.83,108.97,0.58%
2018年5月8日,109.12,109.08,109.36,108.83,0.03%
2018年5月7日,109.09,109.12,109.41,108.75,-0.03%
2018年5月4日,109.12,109.19,109.28,108.64,-0.06%
2018年5月3日,109.19,109.83,109.89,108.94,-0.59%
2018年5月2日,109.84,109.86,110.03,109.58,-0.02%
2018年5月1日,109.86,109.34,109.89,109.23,0.48%
2018年4月30日,109.33,109,109.45,109,0.26%
2018年4月27日,109.05,109.31,109.55,108.97,-0.24%
2018年4月26日,109.31,109.42,109.47,109.06,-0.10%
2018年4月25日,109.42,108.81,109.47,108.8,0.55%
